//id - hitpoints attackemote defenceemote deathemote attackspeed respawndelay maxhit attackstyle attackgfx attackprojectile agrotype agroratio
//dummy
7891 - 7000 422 -1 -1 4 30 10 MELEE -1 -1 PASSIVE 4
4474 - 7000 422 -1 -1 4 30 10 MELEE -1 -1 PASSIVE 4
1507 - 7000 422 -1 -1 4 30 10 MELEE -1 -1 PASSIVE 4
1488 - 7000 422 -1 -1 4 30 10 MELEE -1 -1 PASSIVE 4
//the hive
16173 - 2500 -1 -1 -1 4 30 10 MAGE -1 -1 AGRESSIVE 16
16169 - 3000 6234 6237 6233 4 30 150 MAGE -1 -1 AGRESSIVE 16
16135 - 12000 6234 6237 6233 10 30 300 MAGE -1 -1 AGRESSIVE 16
16174 - 3500 -1 -1 -1 4 30 10 MAGE -1 -1 AGRESSIVE 16
16176 - 3500 -1 -1 -1 4 30 10 MAGE -1 -1 AGRESSIVE 16
16167 - 3000 6235 6237 6233 4 30 150 RANGE -1 4045 AGRESSIVE 16
16168 - 3000 6234 6237 6233 4 30 150 MELEE -1 -1 AGRESSIVE 16
16170 - 1500 6235 6237 6233 4 30 100 RANGE -1 4045 AGRESSIVE 16
16171 - 1500 6234 6237 6233 4 30 100 MELEE -1 -1 AGRESSIVE 16
16172 - 1500 6235 6237 6233 4 30 100 MAGE -1 4044 AGRESSIVE 16
//nazgul
16177 - 2500 -1 -1 -1 4 30 500 MAGE -1 -1 PASSIVE 16
//Man
1 - 70 422 425 836 4 30 10 MELEE -1 -1 PASSIVE 4
//Man
2 - 70 422 425 836 4 30 10 MELEE -1 -1 PASSIVE 4
//Man
3 - 70 422 425 836 4 30 10 MELEE -1 -1 PASSIVE 4
//Woman
4 - 93 422 425 836 4 30 15 MELEE -1 -1 PASSIVE 4
//Woman
5 - 93 422 425 836 4 30 15 MELEE -1 -1 PASSIVE 4
//Woman
6 - 93 422 425 836 4 30 15 MELEE -1 -1 PASSIVE 4
//Farmer
7 - 120 422 425 836 6 30 19 MELEE -1 -1 PASSIVE 4
//Thief
8 - 160 422 425 836 4 30 20 MELEE -1 -1 PASSIVE 4
//Guard
9 - 220 386 425 836 4 30 34 MELEE -1 -1 PASSIVE 4
//Wizard
13 - 140 422 425 836 4 30 40 MAGE -1 -1 PASSIVE 4
//Warrior woman
15 - 193 386 -1 836 4 30 31 MELEE -1 -1 PASSIVE 5
//Man
16 - 70 422 425 836 4 30 10 MELEE -1 -1 PASSIVE 4
//Al Kharid warrior
18 - 190 390 425 836 4 30 30 MELEE -1 -1 PASSIVE 4
//White Knight
19 - 530 7042 7050 836 7 30 60 MELEE -1 -1 PASSIVE 4
//Paladin
20 - 660 390 425 836 5 30 89 MELEE -1 -1 PASSIVE 4
//Hero
21 - 880 390 425 836 5 30 91 MELEE -1 -1 PASSIVE 4
//Knight of Ardougne
23 - 237 390 -1 836 5 30 47 MELEE -1 -1 PASSIVE 5
//Man
24 - 70 422 425 836 4 30 10 MELEE -1 -1 PASSIVE 4
//Woman
25 - 93 422 425 836 4 30 15 MELEE -1 -1 PASSIVE 4
//Knight of Ardougne
26 - 237 390 -1 -1 5 30 47 MELEE -1 -1 PASSIVE 5
//Guard
32 - 220 401 425 836 5 30 34 MELEE -1 -1 PASSIVE 4
//Watchman
34 - 125 422 -1 836 4 30 20 MELEE -1 -1 PASSIVE 5
//Soldier
35 - 143 390 -1 836 5 30 28 MELEE -1 -1 PASSIVE 5
//Shipyard worker
38 - 100 422 425 836 5 30 20 MELEE -1 -1 PASSIVE 4
//Shipyard worker
39 - 100 401 425 836 5 30 20 MELEE -1 -1 PASSIVE 4
//Chicken
41 - 30 5387 5388 5389 4 30 15 MELEE -1 -1 PASSIVE 4
//Duck
46 - 30 1 6819 3468 4 30 8 MELEE -1 -1 PASSIVE 4
//Rat
47 - 20 2705 2706 2707 4 30 15 MELEE -1 -1 PASSIVE 4
//Oomlie bird
48 - 400 5387 5388 5389 4 30 50 MELEE -1 -1 PASSIVE 4
//Hellhound
49 - 1150 6562 6563 6564 4 30 118 MELEE -1 -1 AGRESSIVE 2
//King Black Dragon
50 - 2400 17782 17779 17780 4 30 254 MAGE -1 -1 AGRESSIVE 64
//Frost dragon
51 - 1600 13151 13154 13153 4 30 213 MAGE -1 -1 PASSIVE 2
//Baby blue dragon
52 - 510 14270 14269 14271 4 30 60 MELEE -1 -1 AGRESSIVE 2
//Red dragon
53 - 1400 12252 12251 12250 4 30 144 MELEE -1 -1 AGRESSIVE 2
//Black dragon
54 - 1900 12252 12251 12250 4 30 214 MELEE -1 -1 AGRESSIVE 2
//Blue dragon
55 - 1050 12252 12251 12250 4 30 110 MELEE -1 -1 AGRESSIVE 2
//Shadow spider
58 - 550 5327 5328 5329 4 30 56 MELEE -1 -1 PASSIVE 2
//Giant spider
59 - 67 5327 5328 5329 4 30 15 MELEE -1 -1 AGRESSIVE 2
//Giant spider
60 - 320 5327 5328 5329 4 30 15 MELEE -1 -1 AGRESSIVE 2
//Spider
61 - 20 6249 6250 6251 4 30 15 MELEE -1 -1 PASSIVE 2
//Jungle spider
62 - 500 5327 5328 5329 4 30 50 MELEE -1 -1 AGRESSIVE 2
//Deadly red spider
63 - 350 5327 5328 5329 4 30 40 MELEE -1 -1 AGRESSIVE 2
//Ice spider
64 - 650 5327 5328 5329 4 30 60 MELEE -1 -1 PASSIVE 2
//Zombie
73 - 220 5571 5568 5569 4 30 9 MELEE -1 -1 AGRESSIVE 2
//Zombie
74 - 240 5578 5579 5580 4 30 16 MELEE -1 -1 AGRESSIVE 2
//Zombie
75 - 300 5571 5574 5575 5 30 26 MELEE -1 -1 AGRESSIVE 2
//Zombie
76 - 300 5571 5574 5575 5 30 26 MELEE -1 -1 AGRESSIVE 2
//Summoned Zombie
77 - 56 5568 5575 5569 4 30 9 MELEE -1 -1 PASSIVE 5
//Giant bat
78 - 320 4915 4916 4917 4 18 32 MELEE -1 -1 PASSIVE 2
//Death wing
79 - 780 4915 4916 4917 4 30 80 MELEE -1 -1 PASSIVE 2
//Cow
81 - 107 245 150 244 4 30 15 MELEE -1 -1 PASSIVE 4
//Lesser demon
82 - 790 64 65 67 4 30 85 MELEE -1 -1 PASSIVE 2
//Greater demon
83 - 870 64 65 67 4 30 97 MELEE -1 -1 PASSIVE 2
//Black demon
84 - 1570 64 65 67 4 30 167 MELEE -1 -1 PASSIVE 2
//Giant rat
86 - 53 14859 14861 14860 4 30 17 MELEE -1 -1 PASSIVE 2
//Giant rat
87 - 100 14859 14861 14860 4 30 17 MELEE -1 -1 PASSIVE 2
//Dungeon rat
88 - 120 14859 14861 14860 4 30 20 MELEE -1 -1 PASSIVE 2
//Unicorn
89 - 68 6376 -1 6377 4 30 11 MELEE -1 -1 PASSIVE 5
//Skeleton
90 - 200 5485 5513 5491 4 30 11 MELEE -1 -1 AGRESSIVE 2
//Skeleton
91 - 262 12632 5513 5491 4 30 12 MELEE -1 -1 AGRESSIVE 2
//Skeleton
92 - 143 5485 5513 5491 4 30 23 MELEE -1 -1 AGRESSIVE 2
//Skeleton
93 - 262 5499 5513 5503 4 30 42 MELEE -1 -1 AGRESSIVE 2
//Skeleton Mage
94 - 170 5487 5489 5491 4 30 100 MAGE -1 -1 AGRESSIVE 4
//Adolescent White wolf
96 - 37 6559 6557 6558 4 30 74 MELEE -1 -1 AGRESSIVE 2
//White wolf
97 - 450 6559 6557 6558 4 30 74 MELEE -1 -1 AGRESSIVE 2
//Guard dog
99 - 150 6565 6569 6564 4 30 24 MELEE -1 -1 AGRESSIVE 5
//Pheasant
101 - 64 6184 6183 6182 4 30 16 MELEE -1 -1 PASSIVE 4
//Pheasant
102 - 120 6184 6183 6182 4 30 16 MELEE -1 -1 PASSIVE 4
//Ghost
103 - 250 5540 5541 5542 4 30 27 MELEE -1 -1 PASSIVE 2
//Ghost
104 - 250 5532 5533 5534 4 30 27 MELEE -1 -1 PASSIVE 2
//Grizzly bear
