//npcId - npcX npcY npcPLane
//Vorkath
28059 - 2269 4062 0 5
//Summoning guy
6988 - 2208 5342 0
//Kraken
16027 - 3048 2547 0
26611 - 3250 3827 0
26504 - 3371 3739 0
14696 - 4688 5617 0
14696 - 4695 5614 0
9379 - 3233 3449 0
9379 - 3006 3480 0
9379 - 3421 9526 0
// Merchant poly
14620 - 4623 5453 3
//godwars
6260 - 2872 5364 0
6248 - 2919 5246 0
//Bree spawned by leighton
6252 - 2927 5248 0
//Commander Zilyana spawned by leighton
6247 - 2919 5252 0
//Growler spawned by leighton
6250 - 2922 5249 0
//RSBOT DUMPED - Aviansie, 69
6232 - 2832 5256 0
//RSBOT DUMPED - Ogre, 58
374 - 2832 5256 0
//RSBOT DUMPED - Ork, 107
6273 - 2832 5256 0
//RSBOT DUMPED - Ork, 107
6274 - 2832 5256 0
//RSBOT DUMPED - Bloodveld, 81
6215 - 2832 5256 0
//RSBOT DUMPED - Ork, 107
6271 - 2832 5256 0
//RSBOT DUMPED - Vampyre, 77
6214 - 2832 5256 0
//RSBOT DUMPED - Werewolf, 93
6212 - 2832 5256 0
//RSBOT DUMPED - Hobgoblin, 47
6275 - 2832 5256 0
//RSBOT DUMPED - Hobgoblin, 47
6275 - 2832 5256 0
//RSBOT DUMPED - Hobgoblin, 47
6275 - 2877 5317 0
//RSBOT DUMPED - Hobgoblin, 47
6275 - 2832 5256 0
//RSBOT DUMPED - Aviansie, 89
6243 - 2832 5256 0
//RSBOT DUMPED - Aviansie, 131
6246 - 2832 5256 0
//RSBOT DUMPED - Werewolf, 93
6212 - 2872 5317 0
//RSBOT DUMPED - Ork, 107
6272 - 2832 5256 0
//RSBOT DUMPED - Ork, 107
6274 - 2832 5256 0
//RSBOT DUMPED - Werewolf, 93
6213 - 2832 5256 0
//RSBOT DUMPED - Ogre, 58
9184 - 2832 5256 0
//RSBOT DUMPED - Hellhound, 127
6210 - 2832 5256 0
//RSBOT DUMPED - Hobgoblin, 47
6275 - 2832 5256 0
//RSBOT DUMPED - Knight of Saradomin, 101
6259 - 2832 5256 0
//RSBOT DUMPED - Spiritual ranger, 122
6256 - 2832 5256 0
//RSBOT DUMPED - Spiritual mage, 120
6257 - 2832 5256 0
//RSBOT DUMPED - Spiritual mage, 120
6257 - 2832 5256 0
//RSBOT DUMPED - Spiritual mage, 120
6257 - 2832 5256 0
//RSBOT DUMPED - Imp, 7
6211 - 2832 5256 0
//RSBOT DUMPED - Spiritual warrior, 125
6255 - 2832 5256 0
//RSBOT DUMPED - Spiritual warrior, 125
6255 - 2832 5256 0
//RSBOT DUMPED - Werewolf, 93
6212 - 2832 5256 0
//RSBOT DUMPED - Vampyre, 77
6214 - 2832 5256 0
//RSBOT DUMPED - Spiritual warrior, 125
6255 - 2832 5256 0
//RSBOT DUMPED - Icefiend, 18
3406 - 2832 5256 0
//RSBOT DUMPED - Spiritual warrior, 125
6255 - 2832 5256 0
//RSBOT DUMPED - Bloodveld, 81
6215 - 2832 5256 0
//RSBOT DUMPED - Hellhound, 127
6210 - 2832 5256 0
//RSBOT DUMPED - Bloodveld, 81
6215 - 2832 5256 0
//RSBOT DUMPED - Saradomin priest, 113
6254 - 2832 5256 0
//RSBOT DUMPED - Spiritual ranger, 122
6256 - 2832 5256 0
//RSBOT DUMPED - Spiritual ranger, 122
6256 - 2889 5298 0
//RSBOT DUMPED - Saradomin priest, 113
6254 - 2888 5307 0
//RSBOT DUMPED - Vampyre, 77
